LakeID,LakeName,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,IR6,IR6.Num,IR6.den,MBT5ME,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
881,Tramping,3418.563629,0,44735.83578,5120.35857,15905.78851,0,64799.99147,0,5781.459571,90965.65239,0,0,0,0,6770.692957,0.4,96086.01,237498.34,0.083826094,52.01,-108.79,3.4,13.29,1.7,3.07,-14.9,2.17,16.53,6.32,23.45,23.8,11.56,9.14
882,Unknown 1,233198.1628,11854.34949,692644.0345,38332.74554,255325.4211,3034.119868,629163.4546,4011.325192,135916.2436,347931.8027,198133.8202,9811.880769,11063.16611,178354.2929,30898.89685,0.15,414976.22,2779673.72,0.155510691,51.55,-104.26,1.8,0.17,1.2,2.83,-15.77,1.47,16.37,7.07,21.66,21.66,1.27,8.73
883,Macklin,383726.4086,15527.96836,660385.1093,59149.1038,503451.8494,0,713426.1159,5909.938213,169423.2587,447494.4037,285225.3101,7810.188865,20203.05028,167293.2584,26409.28355,0.15,535891.6,3465435.25,0.121144465,52.32,-109.95,2.8,0.77,2,3.33,-14.1,2.5,16.43,6.76,20.54,20.53,0.8,8.38
884,Vincent,0,0,0,0,0,0,0,0,0,3922.348362,0,0,0,0,0,1,3922.35,3922.35,0,50.23,-108.96,0.1,2.42,3.8,4.73,-11,4,17.5,6.45,22,22,49.87,9.42
885,Snakehole,4619.825668,0,9652.320222,0,5641.295485,0,33592.4295,0,6342.957098,54575.87791,5242.487274,0,0,4044.497034,0,0.44,54575.88,123711.69,0.075117608,50.51,-108.48,2.4,1.82,3.9,4.83,-11.37,4.1,17.87,6.78,23.46,23.54,50.21,8.96
886,Junction,164517.1782,179964.9889,7551.720276,11147.30283,140958.1204,0,162055.4003,0,52992.46742,53155.92748,79865.16193,0,0,48229.17542,6027.21565,0.27,244268.22,906464.66,0.105621582,49.97,-109.52,9,0.9,3.7,4.57,-11.07,3.83,17.27,6.52,19.34,19.93,0.66,8.92
887,Van Scoy,30201.99824,5501.538632,261638.2068,19921.72864,56230.84106,0,258629.2868,0,92498.5172,174654.662,94642.87106,8944.424158,5148.998663,113817.4893,30307.5953,0.18,209022.35,1152138.16,0.238744274,52.07,-107.55,0.9,4.69,1.9,3.27,-15.2,2.53,16.97,6.67,19.5,19.5,6.44,8.82
889,Alioth,250728.4988,0,270915.2277,0,216275.9742,0,0,0,8081.850285,132343.6126,3592.380394,0,0,6853.522238,3299.004307,0.15,132343.61,892090.07,0.037249425,52.51,-109.55,0.58,0.14,1.7,3.1,-14.53,2.2,16.2,6.67,21.1,21.1,13.92,10.33
890,Suffern,1152804.895,68877.78789,1190376.718,61630.97211,1050735.589,7219.291788,1011031.268,5215.981563,602186.5934,844200.6609,378672.2364,36723.68479,13301.65861,442136.7039,84493.26782,0.15,1023868.38,6949607.31,0.146536321,52.64,-109.9,8,0.29,1.9,3.17,-14.23,2.43,16.27,6.3,19.82,21.6,0.23,8.18
892,Shannon,267816.7026,150416.8106,11512.92637,470996.1664,34924.42285,212625.8091,0,467865.3132,4095.177596,125297.3341,295064.0023,188529.8699,10212.37255,9464.7591,143927.2379,0.68,1615731.3,2392748.9,0.223937574,52.64,-105.43,11.2,2.65,0.9,2.4,-16.4,1.27,16.3,6.21,15.65,20.48,1.67,9.06
