Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
940,Luck,0.6,8.1,0.2,0.4,0.0,0.0,0.9,8.3,1.6,1.5,0.2,0.1,4.2,2.2,0.5,51.05,-107.09,0.8,28.27,3,4.33,-13.27,3.37,17.63,6.65,18.2,18.2,4.55,9.64
941,Chapleau,89.9,146.8,3.9,12.1,0.0,1.3,114.7,153.2,39.3,66.2,1.2,5.0,98.2,52.9,6.3,50.18,-103.34,1.4,1.95,2.1,3.67,-14.6,2.37,17.07,7.03,21.53,21.53,0.41,9
942,Madge,264.9,173.3,17.1,15.5,1.8,1.7,146.4,176.0,81.6,71.1,4.2,3.5,177.3,68.7,11.0,51.65,-101.63,12.3,12.18,0.3,2.17,-17.37,0.67,15.87,6.05,19.41,20.9,0.38,8.36
943,Middle,2.2,11.0,0.8,0.4,0.0,0.0,2.0,12.2,1.4,3.0,0.0,0.0,9.4,2.8,0.6,52.57,-105.21,10,8.34,1,2.7,-16.57,1.4,16.53,6.62,16.79,19.87,5.14,8.93
944,Wakaw,26.1,73.2,4.5,6.2,0.3,0.7,18.7,61.4,23.5,19.0,2.6,1.4,55.8,25.5,7.2,52.64,-105.64,10.3,11.66,1.1,2.43,-16.07,1.57,16.43,6.75,19.73,21.12,1.53,8.54
945,Thackery,10.0,28.5,0.6,1.3,0.0,0.0,11.8,24.4,5.4,6.9,0.2,0.4,12.8,7.2,0.8,52.53,-108.71,1.6,0,1.3,2.7,-15.43,1.73,16.03,5.99,19.63,19.63,1.17,9.42
946,X3,33.3,83.3,1.6,4.3,0.1,0.0,38.8,82.5,15.9,20.9,0.7,1.4,30.5,22.0,3.3,51.94,-107.59,0.58,1.99,2,3.37,-15.1,2.7,17.1,6.73,20.15,20.15,3.08,9.77
947,Redberry,3.0,7.2,1.1,0.5,0.0,0.4,3.7,4.4,6.0,1.0,0.8,0.2,8.9,5.6,3.0,52.71,-107.19,14.8,0,1.5,2.87,-15.5,2.17,16.6,6.44,12.15,19.82,8.61,9.09
948,Fishing,40.1,147.6,9.1,17.4,1.1,2.2,42.6,127.3,62.3,52.4,7.1,3.4,109.0,66.2,25.3,51.81,-103.55,11.5,30.77,0.7,2.6,-16.83,0.87,16.07,7.19,20.21,22.41,4.66,9.19
949,Antelope,6.6,27.7,1.0,2.1,0.2,0.0,7.8,30.4,4.9,8.1,0.5,0.4,21.4,5.6,2.0,50.27,-108.4,7.7,6.13,3.9,4.83,-10.97,4,17.57,6.36,21.45,22.31,7.86,9.4
950,Coldspring,18.0,87.3,4.0,6.0,2.7,3.5,26.6,98.2,12.1,6.6,0.9,0.8,140.6,6.8,2.4,52.34,-108.58,2.4,3.56,1.5,2.9,-15.27,2.03,16.3,6.44,19,19,5.86,8.62
951,Reesor,68.4,51.3,2.4,3.0,0.1,0.0,64.5,51.1,26.3,18.2,1.3,1.2,31.9,24.1,4.1,49.66,-110.11,5,0.52,0,0,0,0,15.37,5.9,18.9,18.9,0.14,8.48
952,Eaglehill,5.9,44.8,0.9,1.9,0.0,0.0,10.8,38.1,5.5,8.5,0.7,1.1,23.9,8.2,1.4,52.37,-109,1.1,1.84,1.6,3.07,-15,2.03,16.27,6.12,19.4,19.4,2.64,9.03
953,Pike,71.8,71.8,1.7,1.8,0.1,0.1,38.8,60.3,13.1,11.9,0.7,0.4,38.0,12.0,1.8,51.9,-106.82,2.5,2.59,2.3,3.67,-14.9,2.83,17.43,6.3,19.65,19.9,0.26,8.66
954,Sunny,2.5,8.6,0.6,1.5,0.0,0.0,4.8,14.4,3.6,2.7,0.5,0.4,16.9,2.8,0.9,52.02,-108.52,15,1.08,1.6,3,-15.03,2.1,16.43,6.8,9.58,22.9,11.61,8.5
955,Handsome,36.3,111.6,3.2,8.9,0.2,0.3,48.5,96.3,25.3,28.3,1.2,2.0,57.1,32.0,4.5,50.5,-107.39,1.9,1.18,3.4,4.5,-11.83,3.57,17.53,6.8,18.37,18.37,2.19,9.04
1242,Peter,5.9,24.0,0.7,1.9,0.1,0.0,10.6,24.5,8.9,8.3,0.9,0.8,17.7,12.1,3.6,51.45,-104.94,0.5,1.43,2.2,3.8,-15,2.37,17.43,6.82,22.4,22.4,2.78,9.49
1243,Summercove,24.4,25.7,1.1,1.7,0.0,0.2,21.4,22.5,8.0,8.2,0.4,0.4,10.9,7.0,1.0,49.32,-107.04,5,0.7,4,4.8,-11.07,4.13,17.93,6.63,20.01,20.16,0.98,8.97
1388,Thomson,18.6,23.2,0.6,2.1,0.1,0.2,17.3,20.5,6.7,11.3,0.3,0.4,9.9,7.2,0.8,49.76,-106.58,8.3,8.73,4,4.97,-11.17,4.23,18.13,6.81,20.23,21,1.07,8.87
