Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,Altitude,JanP,FebP,MarP,AprP,MayP,JunP,JulP,AugP,SepP,OctP,NovP,DecP,AnnualP,AutumP,WinterP,SpringP,SummerP,JanT,FebT,MarT,AprT,MayT,JunT,JulT,AugT,SepT,OctT,NovT,DecT,AvT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,OrgCarbon,TOCW,WO,WpH,TDS,Alkalinity,Bicarbonate,Carbonate,Ca,SO4,Na,Mg,K,Cl
871,Shrimp,14,1,16,2,15,0,20,0,5,15,6,0,0,6,1,51.59,-108.45,3,0.45,678,17,12,18,23,37,61,58,43,30,16,14,15,344,60,44,78,162,-17,-12.9,-6.8,3.6,11.1,15.5,18.2,17.2,11,4.8,-5.5,-12.9,2.2,3.43,-14.27,2.63,16.97,6.71,22.56,22.6,0.41,1.76,0.34,49.64,9.05,0.00,185.85,216.26,10.36,46.64,247.35,25.83,45.87,22.08,12.21
872,Katepwa,18,1,19,2,10,0,14,0,8,10,8,1,0,6,1,50.70,-103.64,22.4,17.01,476,20,15,19,22,48,71,60,52,45,24,16,19,411,85,54,89,183,-17.8,-13.7,-7,3.4,10.9,15.9,18.8,17.6,11.4,5.4,-5.1,-13.4,2.2,3.90,-14.97,2.43,17.43,7.22,15.68,22.55,0.79,2.99,0.29,29.97,8.29,0.00,207.72,251.76,1.7,64.59,403.56,154.7,61.98,19.67,71.08
873,Sink,7,0,15,0,18,0,17,0,5,28,6,0,0,4,0,52.44,-109.19,2.8,0.14,616,18,13,19,22,35,67,67,52,32,16,16,19,376,64,50,76,186,-17.7,-13.3,-7.5,3.3,10.7,15,17.6,16.4,10.7,4.6,-5.9,-13.3,1.7,3.13,-14.77,2.17,16.33,6.61,21.10,21.1,2.83,1.80,0.20,23.70,8.66,0.00,813.48,887.68,103.28,79.94,1263.85,864.6,142,34.53,355.71
874,White Heron,11,1,32,1,12,0,25,0,5,8,3,0,0,3,0,51.89,-109.05,0.8,4.86,647,16,12,18,22,35,62,61,46,30,15,14,16,347,59,44,75,169,-17.6,-13,-7.2,3.4,10.9,15.1,17.9,17,10.9,4.7,-5.6,-13,2,3.33,-14.53,2.37,16.67,6.25,24.25,24.25,1.89,1.76,0.31,84.40,8.94,0.00,504.2,568.05,46.45,36.23,589.37,461.7,44.07,23.72,372.58
875,Gouverneur,16,1,18,1,14,0,18,0,6,10,7,0,0,7,1,49.77,-107.64,7.2,1.71,758,18,15,18,24,44,63,47,34,31,16,13,16,339,60,49,86,144,-13,-9.3,-3.7,4.8,11.4,16,19.1,18.3,11.9,6.1,-3.5,-9.7,4,4.83,-10.67,4.17,17.80,6.57,19.80,20.7,1.38,1.53,0.13,63.41,8.73,0.00,388,445.35,27.67,69.65,995.35,441.1,87.52,17.52,19.01
876,Kenosee,5,0,21,2,6,0,26,0,4,21,7,0,0,5,1,49.82,-102.30,7.4,8.31,734,20,15,21,29,51,73,63,60,48,25,15,18,438,88,53,101,196,-17.4,-13.9,-7.3,2.8,10.2,15,17.9,16.6,10.6,4.5,-5.7,-13.7,1.6,3.13,-15.00,1.90,16.50,5.88,19.14,19.2,1.32,1.45,0.27,90.22,8.79,0.00,1117.9,1333.05,30.63,70.58,815,87.54,0,62.12,38.74
877,Barber,8,24,1,2,11,0,22,0,6,8,9,0,1,8,1,51.36,-107.67,1.6,9.93,556,17,13,18,21,39,62,57,37,30,17,15,17,343,62,47,78,156,-16.4,-12.6,-6,4.3,11.6,16.1,18.8,17.7,11.7,5.5,-5,-12.7,2.8,4.07,-13.90,3.30,17.53,6.93,20.43,20.43,1.26,2.15,0.22,43.87,8.57,0.00,324.23,370.69,24.55,93.71,838.35,315.3,97.86,30.03,121.81
878,Humbolt,5,1,19,2,8,0,19,0,8,17,9,1,0,10,2,52.15,-105.12,6.3,4.93,547,19,15,20,19,38,66,61,47,39,22,15,19,380,76,53,77,174,-19.3,-15.3,-8.4,2.5,10.7,15.3,18.1,17.3,11,4.6,-6.1,-14.4,1.3,3.17,-16.33,1.60,16.90,7.23,21.02,21.11,0.84,2.98,0.32,120.25,9.13,1.07,233.16,266.51,17.72,81.97,564.06,87.33,93.99,25.87,83.53
879,Porter ,5,26,0,0,10,0,21,0,10,6,12,0,0,10,0,52.19,-106.28,4,2.50,506,17,14,18,21,39,63,59,43,35,19,15,19,362,69,50,78,165,-17.6,-14.3,-7.6,3.5,11.2,15.9,18.4,17.1,11.1,4.8,-6.3,-13.6,1.9,3.20,-15.17,2.37,17.13,6.62,19.16,19.2,0.00,2.28,0.24,0.00,8.48,0.00,348.78,414.25,414.25,166.3,2200.92,740.9,353,46.86,375.68
880,Elkwater,17,1,27,1,12,0,17,0,5,8,6,0,0,4,0,49.66,-110.29,7.9,2.19,1224,23,19,24,30,46,65,44,41,37,17,17,20,383,71,62,100,150,-13.4,-9.8,-5.4,2.6,8.9,13.5,16.8,15.8,9.9,4.4,-4.5,-9.8,2.4,3.27,-11.00,2.03,15.37,6.20,18.74,18.7,0.18,0.00,0.20,91.24,8.65,0.00,168.26,204.52,0.8,36.23,54.05,15.78,27.6,2.94,16.1
